set,fileName,filePath,faceDetected,faceCount,score,threshold,decision,errorCode,errorMessage
good,IMAGE 2026-01-07 17:29:21.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/good/IMAGE 2026-01-07 17:29:21.jpg,true,,0.5711,0.32,PASS,,
good,IMAGE 2026-01-07 17:29:33.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/good/IMAGE 2026-01-07 17:29:33.jpg,true,,0.6317,0.32,PASS,,
good,IMAGE 2026-01-07 17:29:36.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/good/IMAGE 2026-01-07 17:29:36.jpg,true,,0.6962,0.32,PASS,,
good,IMAGE 2026-01-07 17:29:39.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/good/IMAGE 2026-01-07 17:29:39.jpg,true,,0.6097,0.32,PASS,,
good,IMAGE 2026-01-07 17:30:00.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/good/IMAGE 2026-01-07 17:30:00.jpg,true,,0.5949,0.32,PASS,,
bad,IMAGE 2026-01-07 17:26:56.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:26:56.jpg,false,,,0.32,PASS,,
bad,IMAGE 2026-01-07 17:27:00.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:27:00.jpg,true,,0.0238,0.32,PASS,,
bad,IMAGE 2026-01-07 17:27:07.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:27:07.jpg,true,,0.0008,0.32,PASS,,
bad,IMAGE 2026-01-07 17:27:10.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:27:10.jpg,true,,0.0035,0.32,PASS,,
bad,IMAGE 2026-01-07 17:27:13.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:27:13.jpg,false,,,0.32,PASS,,
bad,IMAGE 2026-01-07 17:27:16.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:27:16.jpg,false,,,0.32,PASS,,
bad,IMAGE 2026-01-07 17:27:19.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:27:19.jpg,false,,,0.32,PASS,,
bad,IMAGE 2026-01-07 17:27:23.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:27:23.jpg,false,,,0.32,PASS,,
bad,IMAGE 2026-01-07 17:27:27.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:27:27.jpg,true,,0.0035,0.32,PASS,,
bad,IMAGE 2026-01-07 17:27:30.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:27:30.jpg,false,,,0.32,PASS,,
bad,IMAGE 2026-01-07 17:27:48.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:27:48.jpg,true,,0.0558,0.32,PASS,,
bad,IMAGE 2026-01-07 17:27:51.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:27:51.jpg,false,,,0.32,PASS,,
bad,IMAGE 2026-01-07 17:27:55.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:27:55.jpg,true,,0.1390,0.32,PASS,,
bad,IMAGE 2026-01-07 17:27:58.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:27:58.jpg,true,,0.0613,0.32,PASS,,
bad,IMAGE 2026-01-07 17:28:01.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:28:01.jpg,true,,0.0977,0.32,PASS,,
bad,IMAGE 2026-01-07 17:28:05.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:28:05.jpg,true,,0.1059,0.32,PASS,,
bad,IMAGE 2026-01-07 17:28:08.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:28:08.jpg,true,,0.0296,0.32,PASS,,
bad,IMAGE 2026-01-07 17:28:11.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:28:11.jpg,true,,0.0215,0.32,PASS,,
bad,IMAGE 2026-01-07 17:28:14.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:28:14.jpg,true,,0.0449,0.32,PASS,,
bad,IMAGE 2026-01-07 17:28:16.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:28:16.jpg,true,,-0.0119,0.32,PASS,,
bad,IMAGE 2026-01-07 17:28:19.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:28:19.jpg,true,,-0.0719,0.32,PASS,,
bad,IMAGE 2026-01-07 17:28:22.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:28:22.jpg,true,,0.0023,0.32,PASS,,
bad,IMAGE 2026-01-07 17:28:34.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:28:34.jpg,true,,-0.0239,0.32,PASS,,
bad,IMAGE 2026-01-07 17:28:36.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:28:36.jpg,true,,-0.0749,0.32,PASS,,
bad,IMAGE 2026-01-07 17:28:39.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:28:39.jpg,true,,-0.0006,0.32,PASS,,
bad,IMAGE 2026-01-07 17:28:43.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/IMAGE 2026-01-07 17:28:43.jpg,true,,0.2063,0.32,PASS,,
bad,SRJ06562.jpg,/Users/alexsvirkin/storybook-learning/tools/faceid_fixtures/bad/SRJ06562.jpg,true,,0.0570,0.32,PASS,,
